,Content ID,User ID,Reaction Type,Datetime,User ID,,,,Content ,Category,Sentiment,Score
,,,,,,,,,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,07-11-2020 09:43,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,92b87fa5-f271-43e0-af66-84fac21052e6,dislike,17-06-2021 12:22,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,scared,18-04-2021 05:13,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,06-01-2021 19:13,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,interested,23-08-2020 12:25,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,7918d465-0953-4f20-9e28-539e74c82e2f,peeking,07-12-2020 06:27,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,fa3e42f0-71d8-455f-b024-e52d5c27a145,cherish,11-04-2021 17:35,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,hate,27-01-2021 08:32,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,1932a904-86ba-4438-bb52-b7e6516a4019,peeking,01-04-2021 22:54,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,35
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,,love,04-08-2020 05:05,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,65
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,f50ac030-3af8-4e07-aacf-dccff353b8f6,indifferent,07-11-2020 08:36,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,b09e3125-2162-443b-bea0-25895b7605bc,scared,02-11-2020 06:28,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,b143cd2b-20b1-4e9c-9bb7-cfb359b33d01,interested,01-11-2020 01:16,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e834aa-fd4a-4206-93e8-ac8fdac613bc,hate,07-10-2020 18:39,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,7246fed1-8725-4dbb-bccd-5451346f122d,scared,03-09-2020 18:51,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,15
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,9664d628-9163-4aae-94e0-311f3bdb2f11,super love,24-02-2021 05:09,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,2dd186bb-7a28-4e80-99c7-f1936afc7b49,peeking,23-09-2020 06:24,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,f4ed8f9c-5eac-4d77-a206-c60afda2921a,indifferent,24-02-2021 11:37,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,20
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,interested,22-05-2021 19:44,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,30
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,,intrigued,31-01-2021 16:03,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,45
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,35d6a1f3-e358-4d4b-8074-05f3b7f35c2a,peeking,20-11-2020 17:26,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,c64c5004-6ab5-4faa-9fcd-8039fe57799d,worried,11-04-2021 20:47,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,4cff698b-def1-497c-a78e-75058de67fe8,like,13-06-2021 16:46,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,0a1cde57-79ab-4c61-b664-1d3b290b43cf,heart,11-04-2021 14:29,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,afab7336-04d3-45fe-8917-0327c56e7435,worried,02-03-2021 19:21,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,29ba1f29-2e45-41bd-9c43-05d0dae6c1c6,hate,27-06-2020 18:44,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,e74edcea-5db4-4412-a4ce-eb7c5adc314a,hate,09-05-2021 21:05,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,69527334-c362-47df-87fc-5e2b5e2605e5,cherish,04-08-2020 23:58,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,bc142f57-1307-46c6-9975-8c3a1e5f540c,super love,28-08-2020 03:57,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,75
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,,intrigued,25-08-2020 08:21,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,45
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,d6204684-926d-41db-ae9c-a7bf2e76313a,scared,20-04-2021 23:48,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,941db1b1-270d-47f8-8a96-43f5a7481f03,interested,07-03-2021 12:40,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,30
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,indifferent,24-05-2021 03:21,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,20
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,super love,24-01-2021 11:03,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,75
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,09-04-2021 02:46,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,5ad56e97-58f6-4e66-9b8f-5c16358a9a97,super love,02-02-2021 03:43,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,bcdf88dc-2a52-4716-bc24-a1b46040c8ce,interested,04-02-2021 03:06,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,69532ce2-1ffe-4187-8042-0230d115b24e,dislike,09-11-2020 02:49,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,10
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,8f3d5674-544d-4f70-b4c1-7b9d93371855,scared,29-09-2020 16:00,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,15
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,,dislike,29-11-2020 21:33,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,10
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,9be473d9-cfdf-4954-bae2-09b0555a8ebb,want,13-02-2021 07:54,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,70
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e26178-5cdd-4568-9990-d3bc5937910b,interested,14-07-2020 05:28,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,positive,30
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,ed5e1675-94a8-482c-8b43-1b9bb71d0495,indifferent,23-08-2020 10:30,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,neutral,20
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,d81dc9d9-a614-40f1-9dd4-7a4a05bac243,worried,10-05-2021 09:27,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,12
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,hate,15-03-2021 03:59,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,,,,photo,Studying,negative,5
,,,,,#N/A,,,,#N/A,#N/A,#N/A,#N/A
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,ddd079a8-00dd-4aab-9551-11961171db16,dislike,25-06-2020 17:01,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,,,,photo,healthy eating,negative,10
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,cbc99939-e6a6-4269-9819-bffce6f38751,intrigued,13-09-2020 00:11,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,,,,photo,healthy eating,positive,45
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,289044c8-e74c-4814-898a-b3b5eba6e46e,peeking,20-08-2020 18:17,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,,,,photo,healthy eating,neutral,35
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,34e8add9-0206-47fd-a501-037b994650a2,scared,11-02-2021 04:53,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,,,,photo,healthy eating,negative,15
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,a483c273-aee5-44bc-883e-d6963157aa4c,hate,08-03-2021 10:40,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,,,,photo,healthy eating,negative,5
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,8b49caad-bcc5-43de-bf40-34a66ff8805c,disgust,28-03-2021 21:15,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,,,,photo,healthy eating,negative,0
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,e6a52b6a-20ec-4b09-bbb7-4a1138014985,hate,25-05-2021 01:00,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,,,,photo,healthy eating,negative,5
